table_name,data_type,column_name,explanation
classified_transactions,case_result,amount_class,
classified_transactions,case_result,amount_zscore,
fraud_scored,case_result,amount_velocity_pct,
fraud_scored,case_result,fraud_decision,
fraud_scored,case_result,gap_minutes_device,
fraud_scored,case_result,gap_minutes_user,
fraud_scored,case_result,rapid_device_flag,
fraud_scored,case_result,rapid_user_flag,
output,aggregate,approve_count,
output,aggregate,deny_count,
output,aggregate,review_count,
output,aggregate,total_chargebacks,
output,aggregate,total_rapid_device,
output,aggregate,total_rapid_user,
output,aggregate,total_transactions,
output,function_result,avg_amount,
output,function_result,avg_device_gap_min,
output,function_result,avg_fraud_score,
output,function_result,avg_user_gap_min,
output,function_result,avg_velocity_pct,
output,function_result,avg_zscore,
output,function_result,cbk_rate_pct,
output,function_result,rapid_rate_pct,
rapid_transactions,window_result,device_1h_txn_count,
rapid_transactions,window_result,next_ts_device,
rapid_transactions,window_result,next_ts_user,
rapid_transactions,window_result,prev_amount_user,
rapid_transactions,window_result,user_24h_txn_count,
transaction_stats,case_result,has_cbk,
transaction_stats,window_result,avg_amount,
transaction_stats,window_result,median_amount,
transaction_stats,window_result,p90_amount,
transaction_stats,window_result,p99_amount,
transaction_stats,window_result,q1_amount,
transaction_stats,window_result,q3_amount,
transaction_stats,window_result,stddev_amount,
