table_name,data_type,column_name,explanation
cohort_activity,function_result,month_number,
cohort_size,aggregate,cohort_txn_count,
cohort_size,aggregate,cohort_volume,
cohort_size,aggregate,total_merchants,
merchant_activity,aggregate,settlement_volume,
merchant_activity,aggregate,txn_count,
merchant_activity,aggregate,unique_customers,
merchant_activity,function_result,activity_month,
merchant_cohorts,aggregate,cohort_month,
output,case_result,retention_quality,
output,function_result,retention_rate_pct,
output,function_result,volume_per_merchant,
output,function_result,volume_retention_pct,
output,window_result,volume_change_pct,
retention_data,aggregate,active_merchants,
retention_data,aggregate,avg_customers_per_merchant,
retention_data,aggregate,retained_txn_count,
retention_data,aggregate,retained_volume,
