table_name,data_type,column_name,explanation
merchant_month_states,function_result,next_calendar_month,
merchant_month_states,function_result,previous_calendar_month,
merchant_month_states,window_result,next_volume_month,
merchant_month_states,window_result,previous_revenue,
merchant_month_states,window_result,previous_volume,
merchant_month_states,window_result,previous_volume_month,
monthly_merchant_volume,aggregate,discount_total,
monthly_merchant_volume,aggregate,interchange_total,
monthly_merchant_volume,aggregate,net_revenue,
monthly_merchant_volume,aggregate,network_fee_total,
monthly_merchant_volume,aggregate,processing_fee_total,
monthly_merchant_volume,aggregate,processing_volume,
monthly_merchant_volume,aggregate,txn_count,
monthly_merchant_volume,aggregate,unique_customers,
monthly_merchant_volume,function_result,volume_month,
output,function_result,churned_mrr,
output,function_result,contraction_mrr,
output,function_result,expansion_mrr,
output,function_result,gross_revenue_retention_pct,
output,function_result,logo_churn_rate_pct,
output,function_result,mrr,
output,function_result,mrr_growth_rate_pct,
output,function_result,net_new_mrr,
output,function_result,net_revenue_retention_pct,
output,function_result,new_mrr,
output,function_result,reactivation_mrr,
output,function_result,revenue_churn_rate_pct,
output,window_result,mom_growth_pct,
output,window_result,yoy_growth_pct,
waterfall_metrics,aggregate,active_merchants,
waterfall_metrics,aggregate,churned_merchants,
waterfall_metrics,aggregate,churned_mrr,
waterfall_metrics,aggregate,contraction_mrr,
waterfall_metrics,aggregate,expansion_mrr,
waterfall_metrics,aggregate,mrr,
waterfall_metrics,aggregate,mrv,
waterfall_metrics,aggregate,new_merchants,
waterfall_metrics,aggregate,new_mrr,
waterfall_metrics,aggregate,reactivated_merchants,
waterfall_metrics,aggregate,reactivation_mrr,
