table_name,data_type,column_name,explanation
merchant_rfm_raw,aggregate,active_months,
merchant_rfm_raw,aggregate,avg_txn_amount,
merchant_rfm_raw,aggregate,chargeback_count,
merchant_rfm_raw,aggregate,first_txn_date,
merchant_rfm_raw,aggregate,frequency,
merchant_rfm_raw,aggregate,last_txn_date,
merchant_rfm_raw,aggregate,monetary_volume,
merchant_rfm_raw,aggregate,total_fees_paid,
merchant_rfm_raw,aggregate,unique_customers,
merchant_rfm_raw,function_result,recency_days,
output,function_result,fee_rate_pct,
output,function_result,scored_at,
output,window_result,segment_cumulative_volume,
output,window_result,segment_percentile,
output,window_result,segment_rank,
rfm_scored,window_result,f_score,
rfm_scored,window_result,m_score,
rfm_scored,window_result,r_score,
rfm_segmented,case_result,churn_risk,
rfm_segmented,case_result,revenue_tier,
rfm_segmented,case_result,rfm_segment,
rfm_segmented,function_result,rfm_score,
rfm_segmented,function_result,rfm_weighted,
