table_name,data_type,column_name,explanation
merchant_tree,function_result,has_children,
merchant_tree,function_result,parent_id,
merchant_tree,function_result,path,
merchant_tree,intermediate,depth,
merchant_tree,intermediate,subtree_balance,
merchant_tree,intermediate,subtree_node_count,
node_transactions,aggregate,chargeback_count,
node_transactions,aggregate,total_fees,
node_transactions,aggregate,total_volume,
node_transactions,aggregate,txn_count,
node_transactions,function_result,node_chargeback_count,
node_transactions,function_result,node_total_fees,
node_transactions,function_result,node_total_volume,
node_transactions,function_result,node_txn_count,
output,case_result,alert_flag,
output,function_result,analyzed_at,
output,window_result,rolling_3level_avg_fee_pct,
tree_stats,case_result,depth_label,
tree_stats,case_result,leaf_volume,
tree_stats,case_result,risk_weighted_balance,
tree_stats,function_result,node_fee_rate_pct,
tree_stats,function_result,pct_of_sibling_total,
tree_stats,window_result,depth_currency_rank,
tree_stats,window_result,path_cumulative_volume,
