table_name,data_type,column_name,explanation
enriched_transactions,case_result,is_chargeback,
enriched_transactions,case_result,is_refund,
enriched_transactions,case_result,merchant_segment,
enriched_transactions,case_result,region,
enriched_transactions,case_result,txn_size_band,
enriched_transactions,function_result,txn_month,
grouping_sets_analysis,aggregate,grp_net,
grouping_sets_analysis,aggregate,grp_reg,
grouping_sets_analysis,aggregate,grp_seg,
output,case_result,row_type,
output,window_result,mom_growth_pct,
output,window_result,month_rank,
output,window_result,network_cumulative_revenue,
output,window_result,revenue_3month_ma,
revenue_cube,aggregate,active_merchants,
revenue_cube,aggregate,grp_currency,
revenue_cube,aggregate,grp_month,
revenue_cube,aggregate,grp_network,
revenue_cube,aggregate,grp_region,
revenue_cube,aggregate,grp_segment,
revenue_cube,aggregate,total_revenue,
revenue_cube,aggregate,total_volume,
revenue_cube,aggregate,txn_count,
revenue_cube,function_result,avg_fee_rate_pct,
time_network_rollup,aggregate,is_subtotal_month,
time_network_rollup,aggregate,is_subtotal_network,
time_network_rollup,aggregate,is_subtotal_segment,
