table_name,data_type,column_name,explanation
merchant_fee_details,case_result,effective_rate,
merchant_fee_details,case_result,is_preferred_pricing,
merchant_fee_details,case_result,monthly_fee_estimate,
merchant_risk_trend,aggregate,max_risk_score,
merchant_risk_trend,case_result,risk_trend_direction,
merchant_risk_trend,function_result,avg_risk_score,
merchant_risk_trend,window_result,newest_score,
merchant_risk_trend,window_result,oldest_score,
merchant_top_batches,window_result,batch_rank,
output,case_result,health_category,
output,function_result,evaluated_at,
output,intermediate,avg_risk_score,
output,intermediate,effective_rate,
output,intermediate,fee_type,
output,intermediate,is_preferred_pricing,
output,intermediate,largest_batch_amount,
output,intermediate,largest_batch_id,
output,intermediate,largest_batch_txns,
output,intermediate,max_risk_score,
output,intermediate,merchant_health_score,
output,intermediate,monthly_fee_estimate,
output,intermediate,risk_score_12mo_ago,
output,intermediate,risk_score_latest,
