table_name,data_type,column_name,explanation
output,case_result,variance_status,
output,function_result,actual_amount,
output,function_result,actual_fees,
output,function_result,actual_net,
output,function_result,actual_tax,
output,function_result,actual_txn_count,
output,function_result,amount_var_abs,
output,intermediate,amount_var,
output,intermediate,txn_count_var,
output,window_result,cumulative_daily_amount,
output,window_result,prev_batch_amount,
output,window_result,variance_rank,
recon_data,window_result,latest_recon_rn,
txn_aggregated,aggregate,actual_amount,
txn_aggregated,aggregate,actual_fees,
txn_aggregated,aggregate,actual_net,
txn_aggregated,aggregate,actual_tax,
txn_aggregated,aggregate,actual_txn_count,
txn_aggregated,aggregate,chargeback_count,
txn_aggregated,aggregate,declined_count,
txn_aggregated,aggregate,high_risk_count,
