table_name,data_type,column_name,explanation
account_stats,aggregate,first_txn_time,
account_stats,aggregate,high_risk_txns,
account_stats,aggregate,last_txn_time,
account_stats,aggregate,total_chargebacks,
account_stats,aggregate,total_inflow,
account_stats,aggregate,total_outflow,
account_stats,aggregate,txn_count,
account_stats,aggregate,unique_merchants,
daily_balances,function_result,activity_date,
output,case_result,account_alert,
output,case_result,balance_health,
output,case_result,cashflow_ratio,
output,function_result,account_age_days,
output,function_result,inflow_30d,
output,function_result,outflow_30d,
output,intermediate,effective_blocked,
output,intermediate,net_flow_30d,
output,window_result,avg_7day_balance_region,
output,window_result,balance_decile,
output,window_result,balance_rank_in_region,
output,window_result,customer_cumulative_inflow,
output,window_result,next_day_balance,
output,window_result,prev_day_balance,
