table_name,data_type,column_name,explanation
combined_activity,intermediate,*,
merchant_activity,aggregate,active_days,
merchant_activity,aggregate,avg_risk_score,
merchant_activity,aggregate,chargeback_amount,
merchant_activity,aggregate,flagged_txns,
merchant_activity,aggregate,max_risk_score,
merchant_activity,aggregate,net_amount,
merchant_activity,aggregate,total_amount,
merchant_activity,aggregate,total_fees,
merchant_activity,aggregate,txn_count,
merchant_activity,aggregate,unique_customers,
output,case_result,avg_daily_txns,
output,case_result,chargeback_rate_pct,
output,case_result,flagged_rate_pct,
output,case_result,risk_category,
output,window_result,amount_percentile,
output,window_result,cumulative_entity_type_amount,
output,window_result,flagged_rank,
