table_name,data_type,column_name,explanation
fee_analysis,case_result,primary_effective_fee,
fee_analysis,case_result,usd_equivalent_amount,
fee_analysis,function_result,base_percentage_rate,
fee_analysis,function_result,first_tier_rate,
fee_analysis,function_result,first_tier_threshold,
fee_analysis,function_result,flat_fee_per_txn,
fee_analysis,function_result,second_tier_rate,
fee_analysis,function_result,second_tier_threshold,
fee_trends,window_result,cumulative_fee_total,
fee_trends,window_result,fee_rate_deviation_from_mean,
fee_trends,window_result,next_period_fee,
fee_trends,window_result,prev_period_fee,
fee_trends,window_result,rolling_7d_avg_fee_rate_pct,
latest_fx_rates,window_result,rate_recency,
merchant_network_volume,aggregate,avg_txn_amount,
merchant_network_volume,aggregate,first_txn_date,
merchant_network_volume,aggregate,has_cross_border,
merchant_network_volume,aggregate,last_txn_date,
merchant_network_volume,aggregate,total_amount,
merchant_network_volume,aggregate,txn_count,
network_comparison,case_result,volume_diff_pct,
output,case_result,fee_positioning,
output,case_result,routing_recommendation,
output,function_result,analyzed_at,
output,function_result,avg_fee_rate_7d_pct,
output,function_result,estimated_savings,
output,function_result,fee_change_pct,
output,function_result,fee_rate_vs_peers_pct,
output,function_result,ytd_cumulative_fee,
