table_name,data_type,column_name,explanation
output,case_result,estimated_settlement_fee,
output,function_result,cumulative_exposure_usd,
output,function_result,position_percentile_pct,
party_net_positions,aggregate,batch_count,
party_net_positions,aggregate,counterparty_count,
party_net_positions,aggregate,total_credit_usd,
party_net_positions,aggregate,total_debit_usd,
party_net_positions,aggregate,txn_count,
positions_enriched,case_result,settlement_limit,
positions_enriched,function_result,has_open_batch,
positions_enriched,function_result,risk_score,
positions_with_action,case_result,settlement_action,
positions_with_action,case_result,urgency,
positions_with_action,function_result,calculated_at,
positions_with_action,window_result,cumulative_exposure,
positions_with_action,window_result,position_percentile,
positions_with_action,window_result,position_rank,
settlement_legs,intermediate,leg_amount,
