table_name,data_type,column_name,explanation
output,aggregate,catalog_sales_quantityave,
output,aggregate,catalog_sales_quantitycount,
output,aggregate,catalog_sales_quantitystdev,
output,aggregate,store_returns_quantityave,
output,aggregate,store_returns_quantitycount,
output,aggregate,store_returns_quantitystdev,
output,aggregate,store_sales_quantityave,
output,aggregate,store_sales_quantitycount,
output,aggregate,store_sales_quantitystdev,
output,intermediate,catalog_sales_quantitycov,
output,intermediate,store_returns_quantitycov,
output,intermediate,store_sales_quantitycov,
